temperature,humidity,air_quality,lighting,noise,vibration,environment_risk_score
23.49,44.24,408.05,523.54,46.58,4.44,25.92
24.8,67.66,352.67,855.65,93.8,4.28,45.06
22.83,70.63,273.76,229.79,49.66,9.73,49.59
27.8,43.62,189.72,360.14,59.3,6.97,27.38
37.23,60.2,217.54,287.63,109.66,3.18,44.75
31.96,52.85,93.4,664.58,72.09,5.33,36.63
25.63,58.9,192.87,491.91,68.18,7.87,44.41
44.56,54.7,1.03,796.11,64.89,4.96,25.95
39.14,76.44,442.24,522.95,78.16,3.94,45.1
35.4,42.73,467.43,233.18,78.36,5.08,54.46
36.08,55.58,147.05,514.15,105.53,3.98,38.25
41.24,51.4,467.19,981.52,118.74,6.61,65.92
21.66,40.71,128.9,940.79,105.51,2.47,26.0
33.14,62.41,361.88,181.57,44.98,6.32,50.78
27.71,66.69,362.02,531.8,66.45,4.84,39.34
39.86,88.63,171.84,297.8,54.75,6.31,44.94
32.05,45.57,415.43,331.43,60.42,8.24,51.38
24.38,87.48,365.58,618.64,64.68,7.1,49.3
31.95,85.75,172.63,202.29,100.0,3.72,41.62
36.37,58.44,241.19,468.86,49.24,6.35,47.82
43.97,52.21,154.09,291.56,99.74,8.38,56.58
20.39,58.08,448.42,519.08,82.79,7.24,49.76
39.91,47.04,455.29,182.52,80.99,8.89,71.52
37.29,66.15,409.78,382.7,106.44,2.44,56.96
44.64,61.83,312.3,284.39,82.91,7.85,63.2
27.19,88.53,15.09,682.46,115.28,3.25,25.57
23.55,76.95,483.43,466.42,61.68,7.6,48.37
28.71,44.57,138.81,232.83,52.02,4.08,34.64
31.22,56.73,4.11,389.29,50.94,8.3,41.29
21.15,48.15,295.1,112.52,76.08,1.87,34.09
28.53,86.89,292.92,647.88,115.82,4.92,53.49
34.77,64.17,132.04,369.69,81.29,3.57,46.47
30.75,67.23,473.07,559.23,103.91,5.9,57.98
43.64,39.41,474.54,241.83,58.24,0.11,53.05
37.55,78.55,454.51,452.13,79.69,2.1,47.68
35.44,45.9,75.0,455.54,60.63,9.58,44.12
26.68,75.25,157.44,704.37,58.62,0.13,16.64
22.45,85.5,217.75,387.98,70.93,8.78,48.89
