failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score,machine_id
Hydraulic,Operator,6.16,1,9,58.06,1
Software,Operator,0.4,3,11,44.29,2
Software,Deterioration,1.53,2,20,52.53,3
Mechanical,Deterioration,8.18,5,11,81.1,4
Hydraulic,Operator,1.51,4,8,53.41,5
Electrical,Environment,4.87,4,22,56.9,6
Hydraulic,Environment,0.72,4,14,29.11,7
Electrical,Environment,9.03,2,6,75.71,8
Hydraulic,Deterioration,2.42,2,8,44.84,9
Software,Operator,8.04,1,1,70.3,10
Software,Operator,1.24,2,14,33.53,11
Hydraulic,Environment,6.93,2,12,48.91,12
Software,Operator,1.71,1,21,44.55,13
Software,Operator,6.14,2,21,69.02,14
Mechanical,Deterioration,0.01,4,2,53.14,15
Software,Deterioration,7.24,3,21,75.12,16
Hydraulic,Operator,5.58,4,13,65.99,17
Mechanical,Operator,4.31,3,19,59.5,18
Mechanical,Environment,3.96,3,4,61.79,19
Software,Deterioration,7.47,2,23,60.47,20
Software,Environment,5.41,2,16,41.67,21
Software,Environment,6.29,2,4,48.04,22
Mechanical,Deterioration,0.73,2,10,41.39,23
Hydraulic,Environment,2.29,4,12,53.61,1
Software,Environment,7.47,2,15,57.04,2
Electrical,Operator,1.6,5,14,49.86,3
Hydraulic,Environment,3.12,4,16,54.62,4
Electrical,Deterioration,2.69,4,2,58.35,5
Software,Operator,2.74,4,4,58.52,6
Software,Environment,8.69,1,1,68.75,7
Software,Deterioration,3.68,1,22,51.37,8
Mechanical,Environment,5.74,2,10,57.68,9
Mechanical,Deterioration,9.81,5,16,90.0,10
Mechanical,Environment,2.68,1,13,31.53,11
Software,Deterioration,1.44,2,13,28.9,12
Electrical,Operator,1.86,1,20,47.45,13
Mechanical,Deterioration,3.22,2,6,63.77,14
Electrical,Environment,8.28,3,2,76.25,15
Mechanical,Environment,6.33,5,1,86.53,16
Hydraulic,Environment,5.98,2,14,54.08,17
Software,Operator,1.06,1,11,38.85,18
Software,Operator,8.1,5,6,88.19,19
Electrical,Deterioration,2.28,2,16,30.11,20
Software,Operator,0.71,3,4,49.14,21
Software,Environment,3.47,5,0,68.98,22
