walking_violation,unsafe_movement_score,improper_tool_usage,phone_usage_freq,distraction_score,work_speed,task_sequence_error,risk_trend,past_incidents,human_risk_label
6,0.8910200168562029,4,6,0.7895540893421115,0.71,5,0.3539866827782654,0,81
8,0.7004239300931883,4,17,0.01446292459468912,0.83,5,0.9686174936233936,6,100
1,0.550167333959432,0,18,0.3532379920881926,1.03,3,0.5676155998900245,7,88
8,0.11949455082050475,1,6,0.8928281829245381,0.72,5,0.17620094826552724,7,86
0,0.7710021318597784,4,18,0.39855148627974035,1.14,1,0.1580304957781442,0,93
9,0.9080357528560061,5,5,0.30507618613554754,1.15,2,0.029306084239232977,2,89
8,0.20599144799768654,3,17,0.9788791035222564,1.07,0,0.5837507932194772,7,100
2,0.18458504451024016,4,0,0.38470810548929535,0.79,5,0.8274700385023095,5,88
2,0.7312099753051032,5,9,0.5342630683779067,1.02,0,0.12629552978795233,0,50
6,0.4475794045991178,1,11,0.23534965586858825,1.17,1,0.7791891985747103,5,93
9,0.5174993049333646,3,6,0.27301073462569647,0.85,1,0.8123378055556111,2,87
2,0.7502707628739084,5,12,0.9460118972718758,1.18,1,0.7261105836145973,1,98
8,0.3459765868322019,3,20,0.7979092134740704,1.27,3,0.40697650556462894,8,90
2,0.7827435261608442,3,12,0.9384826360391307,1.06,4,0.6460487322906524,8,92
5,0.1576709629041666,4,15,0.530196777833324,0.99,5,0.1646058558412986,4,81
8,0.014025531820784365,1,8,0.435854174272033,1.28,3,0.7098210269672729,0,50
4,0.1997371929840871,3,13,0.7401559596944653,1.14,3,0.562727183640354,4,91
1,0.47172885953283483,2,2,0.5967592920023871,1.09,0,0.7101795612338283,10,96
10,0.6235646355664043,0,18,0.23626955752836265,0.9,2,0.25709813066887544,10,97
8,0.041678997453770794,4,16,0.9533815100637812,0.73,1,0.6449368331321246,10,95
10,0.7753368825475169,5,19,0.8788071031579529,0.98,4,0.6083528454414265,10,100
5,0.8342090482357889,3,14,0.2991521748952043,1.03,0,0.15051865449500712,5,88
8,0.16737845530855322,2,20,0.49815151104335387,1.05,5,0.05328086391228459,6,80
3,0.20705602683906854,4,3,0.17388349212048715,1.04,5,0.5564284472446931,10,87
3,0.6524245377846959,2,13,0.5859012923727925,0.81,0,0.8065191195734298,1,85
6,0.07959462040982723,0,6,0.10726380626926812,0.87,5,0.7610706861659451,1,50
7,0.5338196258009837,5,5,0.3375779787424362,0.8,3,0.01751367088483491,7,94
5,0.09781001159376601,5,4,0.7486467194604683,1.11,4,0.9546093636892998,3,82
5,0.19057061380971707,1,5,0.19823203659322153,1.08,1,0.10939109348824094,1,20
1,0.555147010357563,2,13,0.016073197468811196,1.18,3,0.5410497864301379,1,99
1,0.6740363804382095,3,0,0.34269561875569277,1.01,0,0.3877835836969449,8,50
3,0.6836647909355674,1,6,0.3473220478793022,1.17,5,0.7314630996697985,10,95
8,0.47979152231989297,0,3,0.9419564530352303,0.99,5,0.3876352282196245,7,97
4,0.9473554915130173,3,12,0.004088057538516154,1.16,2,0.6274385282097943,10,94
1,0.9410774294015712,5,12,0.3694820065312182,1.16,0,0.3838467831055523,2,97
8,0.7750558343486611,2,10,0.5816859425551167,0.73,2,0.2626636350653442,0,80
2,0.03249041646574935,5,0,0.704184432148736,1.12,1,0.40829851782378734,9,98
5,0.9685570328533883,1,2,0.9650919027049351,1.1,3,0.40258226727168556,6,93
5,0.21494522564145235,5,6,0.5155270089120431,0.7,4,0.6514409685642284,10,85
