failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score
Hydraulic,Operator,6.16,1,9,58.06
Software,Operator,0.4,3,11,44.29
Software,Deterioration,1.53,2,20,52.53
Mechanical,Deterioration,8.18,5,11,81.1
Hydraulic,Operator,1.51,4,8,53.41
Electrical,Environment,4.87,4,22,56.9
Hydraulic,Environment,0.72,4,14,29.11
Electrical,Environment,9.03,2,6,75.71
Hydraulic,Deterioration,2.42,2,8,44.84
Software,Operator,8.04,1,1,70.3
Software,Operator,1.24,2,14,33.53
Hydraulic,Environment,6.93,2,12,48.91
Software,Operator,1.71,1,21,44.55
Software,Operator,6.14,2,21,69.02
Mechanical,Deterioration,0.01,4,2,53.14
Software,Deterioration,7.24,3,21,75.12
Hydraulic,Operator,5.58,4,13,65.99
Mechanical,Operator,4.31,3,19,59.5
Mechanical,Environment,3.96,3,4,61.79
Software,Deterioration,7.47,2,23,60.47
Software,Environment,5.41,2,16,41.67
Software,Environment,6.29,2,4,48.04
Mechanical,Deterioration,0.73,2,10,41.39
Hydraulic,Environment,2.29,4,12,53.61
Software,Environment,7.47,2,15,57.04
Electrical,Operator,1.6,5,14,49.86
Hydraulic,Environment,3.12,4,16,54.62
Electrical,Deterioration,2.69,4,2,58.35
Software,Operator,2.74,4,4,58.52
Software,Environment,8.69,1,1,68.75
Software,Deterioration,3.68,1,22,51.37
Mechanical,Environment,5.74,2,10,57.68
Mechanical,Deterioration,9.81,5,16,90.0
Mechanical,Environment,2.68,1,13,31.53
Software,Deterioration,1.44,2,13,28.9
Electrical,Operator,1.86,1,20,47.45
Mechanical,Deterioration,3.22,2,6,63.77
Electrical,Environment,8.28,3,2,76.25
Mechanical,Environment,6.33,5,1,86.53
Hydraulic,Environment,5.98,2,14,54.08
Software,Operator,1.06,1,11,38.85
Software,Operator,8.1,5,6,88.19
Electrical,Deterioration,2.28,2,16,30.11
Software,Operator,0.71,3,4,49.14
Software,Environment,3.47,5,0,68.98
Mechanical,Deterioration,0.04,1,17,26.12
Software,Environment,7.1,5,2,76.95
Electrical,Deterioration,2.54,1,12,36.78
Hydraulic,Deterioration,6.36,1,16,55.93
Mechanical,Environment,7.38,2,12,52.82
Electrical,Operator,5.89,1,6,56.95
Mechanical,Operator,4.53,5,11,65.39
Electrical,Deterioration,3.34,4,0,60.93
Electrical,Deterioration,0.18,4,3,52.31
Electrical,Operator,2.59,3,8,53.31
Hydraulic,Environment,3.45,4,5,62.49
Electrical,Environment,2.18,4,4,58.61
Mechanical,Deterioration,2.6,3,19,51.82
Electrical,Deterioration,4.15,2,7,46.67
Software,Deterioration,0.87,5,13,46.12
Software,Environment,1.48,5,14,46.36
Software,Operator,4.93,4,21,73.49
Electrical,Environment,1.39,5,15,52.89
Electrical,Operator,2.55,3,6,57.85
Mechanical,Environment,4.22,2,3,53.79
Software,Environment,0.51,4,16,40.42
Electrical,Deterioration,9.08,3,21,90.0
Electrical,Environment,1.19,3,20,46.12
Hydraulic,Environment,9.48,1,15,57.68
Hydraulic,Deterioration,2.64,1,7,34.66
Hydraulic,Operator,7.8,3,20,78.87
Hydraulic,Deterioration,6.88,3,22,63.86
Software,Deterioration,4.28,4,15,61.04
Hydraulic,Environment,1.87,2,13,36.84
Mechanical,Environment,9.65,1,0,65.94
Software,Environment,9.45,1,15,55.79
Hydraulic,Deterioration,8.63,4,8,72.64
Hydraulic,Operator,6.98,3,4,83.04
Mechanical,Operator,7.0,1,1,59.86
Hydraulic,Environment,6.04,5,21,81.61
Software,Environment,3.73,1,22,38.14
Electrical,Deterioration,5.13,3,8,53.24
Hydraulic,Deterioration,8.24,2,15,51.17
Mechanical,Environment,7.59,5,9,66.95
Electrical,Operator,6.57,1,16,50.66
Mechanical,Operator,7.95,3,13,68.92
Hydraulic,Operator,7.44,5,17,87.56
Software,Environment,4.29,1,5,44.28
Hydraulic,Deterioration,7.98,4,19,64.93
Hydraulic,Deterioration,9.37,3,12,72.55
Hydraulic,Operator,6.83,1,13,58.03
Hydraulic,Operator,4.9,5,6,74.76
Electrical,Deterioration,0.65,1,8,36.28
Software,Environment,3.14,4,6,61.97
Hydraulic,Deterioration,0.81,5,20,68.88
Mechanical,Deterioration,3.56,2,4,54.86
Mechanical,Operator,8.31,3,15,67.15
Mechanical,Environment,4.21,1,18,36.0
Mechanical,Deterioration,2.54,1,20,36.45
Software,Operator,0.66,5,6,54.95
Hydraulic,Operator,3.53,3,3,63.44
Software,Operator,1.35,3,15,51.57
Electrical,Deterioration,9.07,3,2,73.36
Hydraulic,Operator,3.4,3,8,51.52
Mechanical,Operator,9.67,4,6,90.0
Mechanical,Environment,1.54,1,17,20.88
Electrical,Deterioration,4.18,2,3,58.47
Hydraulic,Deterioration,4.91,1,22,53.12
Software,Environment,9.61,2,2,64.6
Software,Operator,0.54,4,19,40.78
Software,Environment,6.24,4,6,78.24
Mechanical,Environment,6.96,3,19,69.58
Software,Operator,1.84,4,9,59.2
Hydraulic,Environment,3.57,4,23,53.76
Electrical,Environment,8.28,5,21,82.21
Hydraulic,Deterioration,6.7,5,7,76.92
Software,Operator,1.97,3,9,52.92
Hydraulic,Environment,9.14,4,19,72.94
Electrical,Environment,7.41,2,8,51.08
Software,Environment,9.41,3,6,76.75
Hydraulic,Operator,8.44,3,20,75.45
Hydraulic,Operator,7.23,4,8,65.78
Electrical,Environment,9.98,2,11,56.38
Mechanical,Operator,5.13,1,16,54.98
Software,Deterioration,7.01,1,6,63.45
Electrical,Deterioration,0.12,2,10,25.33
Software,Deterioration,4.02,4,6,62.75
Electrical,Operator,5.64,1,15,44.57
Electrical,Environment,9.31,5,9,84.08
Electrical,Deterioration,3.49,4,12,60.17
Hydraulic,Environment,8.35,3,7,56.34
Electrical,Operator,2.9,2,9,37.62
Electrical,Environment,4.21,1,20,50.3
Mechanical,Deterioration,2.85,1,0,48.07
Hydraulic,Deterioration,6.38,2,13,50.29
Software,Environment,0.27,5,10,31.81
Hydraulic,Environment,5.68,2,23,54.62
Mechanical,Environment,1.1,3,4,40.28
Mechanical,Operator,1.3,1,7,36.57
Electrical,Deterioration,2.21,1,3,48.56
Electrical,Environment,2.56,2,3,47.58
Hydraulic,Operator,6.85,4,20,87.99
Mechanical,Environment,8.84,5,23,90.0
Mechanical,Deterioration,4.62,1,19,51.0
Mechanical,Environment,7.84,1,6,53.34
Software,Environment,8.89,3,22,79.04
Electrical,Operator,6.39,3,4,74.13
Hydraulic,Environment,5.66,3,15,60.41
Hydraulic,Operator,2.88,3,22,50.88
Electrical,Operator,7.08,3,8,68.18
Electrical,Environment,4.06,5,8,67.57
Software,Deterioration,2.24,2,23,37.14
Hydraulic,Deterioration,0.71,3,19,37.46
Software,Environment,8.01,1,8,39.82
Mechanical,Operator,7.67,3,2,90.0
Mechanical,Environment,4.28,4,10,65.37
Electrical,Operator,1.1,2,4,54.5
Mechanical,Operator,6.15,4,22,88.11
Electrical,Deterioration,2.44,3,17,38.82
Mechanical,Environment,2.33,5,3,72.95
Mechanical,Operator,3.25,1,14,47.01
Hydraulic,Operator,9.29,1,5,72.68
Software,Deterioration,6.2,4,3,75.28
Software,Environment,0.23,5,15,38.02
Hydraulic,Deterioration,2.3,3,14,38.12
Electrical,Environment,6.11,5,0,74.8
Mechanical,Operator,3.02,3,14,52.95
Mechanical,Operator,5.12,5,20,84.62
Electrical,Deterioration,4.77,2,21,62.83
Software,Environment,1.84,2,12,27.47
Software,Environment,4.64,4,21,61.79
Mechanical,Environment,5.56,5,2,79.19
Software,Environment,0.24,5,23,42.54
Mechanical,Environment,7.83,2,21,76.62
Software,Operator,8.63,2,2,81.3
Electrical,Deterioration,1.14,5,4,56.44
Hydraulic,Operator,6.57,5,9,82.01
Software,Deterioration,6.27,1,10,45.85
Electrical,Environment,0.97,4,23,48.0
Mechanical,Operator,1.87,3,0,67.86
Electrical,Operator,0.26,1,10,29.4
Hydraulic,Operator,0.67,3,20,55.01
Electrical,Deterioration,1.91,3,22,49.04
Mechanical,Operator,6.3,4,8,70.12
Mechanical,Environment,5.26,1,7,42.79
Mechanical,Operator,6.16,5,4,84.15
Electrical,Deterioration,7.61,5,4,88.47
Hydraulic,Operator,9.46,2,0,77.37
Hydraulic,Operator,7.7,5,13,81.55
Software,Environment,1.36,1,14,16.93
Software,Operator,0.72,4,9,38.62
Software,Operator,0.05,5,22,58.02
Electrical,Operator,1.28,1,11,30.46
Hydraulic,Environment,7.59,5,23,78.89
Hydraulic,Operator,6.63,5,18,73.24
Mechanical,Operator,2.0,5,21,80.8
Mechanical,Environment,1.22,5,0,65.34
Hydraulic,Operator,5.06,5,23,90.0
Electrical,Operator,2.97,2,9,56.59
Electrical,Deterioration,7.04,5,9,79.3
Software,Operator,4.14,5,11,70.6
Electrical,Operator,8.23,5,10,80.28
Electrical,Operator,9.49,3,4,87.57
Electrical,Deterioration,2.15,3,13,37.63
Software,Environment,3.55,5,10,55.45
Hydraulic,Operator,4.43,4,13,58.22
Mechanical,Deterioration,3.16,1,0,43.56
Software,Environment,9.05,2,3,62.43
Electrical,Deterioration,3.65,3,17,43.65
Software,Operator,7.98,5,19,81.48
Hydraulic,Operator,2.59,3,7,56.55
Hydraulic,Deterioration,1.2,1,14,29.59
Mechanical,Operator,3.87,3,23,78.39
Mechanical,Operator,9.54,1,10,61.19
Software,Operator,2.4,4,3,63.08
Mechanical,Deterioration,7.32,3,20,78.61
Software,Deterioration,2.01,1,11,37.96
Mechanical,Environment,8.53,4,9,70.75
Software,Deterioration,5.02,5,1,81.02
Hydraulic,Deterioration,1.53,3,18,48.53
Hydraulic,Operator,0.62,3,9,44.65
Mechanical,Deterioration,2.73,2,16,34.21
Hydraulic,Deterioration,7.25,3,7,57.28
Hydraulic,Deterioration,1.78,4,10,51.46
Mechanical,Deterioration,7.27,1,12,59.37
Electrical,Operator,9.41,2,4,84.11
Hydraulic,Deterioration,6.54,2,19,58.62
Electrical,Environment,4.36,1,6,43.92
Software,Operator,6.99,5,1,81.55
Hydraulic,Operator,9.33,5,9,83.86
Electrical,Operator,8.81,3,15,74.51
Software,Environment,0.5,2,12,17.37
Hydraulic,Deterioration,2.68,1,22,42.1
Software,Deterioration,8.11,3,8,66.37
Mechanical,Environment,5.15,1,6,55.28
Software,Deterioration,1.65,2,18,31.72
Electrical,Operator,5.7,4,11,61.59
Mechanical,Operator,4.16,4,16,72.95
Software,Deterioration,7.09,3,1,75.12
Electrical,Operator,6.87,5,5,90.0
Mechanical,Environment,2.39,4,11,49.68
Electrical,Environment,5.51,4,15,54.78
Software,Operator,4.49,1,13,42.51
Electrical,Operator,1.37,3,7,55.38
Electrical,Deterioration,0.36,2,15,25.17
Electrical,Deterioration,0.58,3,12,35.53
Hydraulic,Environment,5.08,2,23,55.71
Software,Deterioration,9.91,1,18,51.8
Hydraulic,Deterioration,7.84,5,18,71.83
Electrical,Deterioration,0.43,1,20,30.23
Mechanical,Operator,6.64,5,15,83.14
Mechanical,Environment,5.33,5,4,77.54
Hydraulic,Environment,2.58,3,2,43.45
Mechanical,Deterioration,3.19,3,9,59.98
Hydraulic,Deterioration,5.11,5,1,73.21
Hydraulic,Operator,3.86,4,18,67.25
Mechanical,Deterioration,4.94,1,14,37.97
Mechanical,Environment,4.04,2,11,50.75
Electrical,Operator,2.46,5,6,67.21
Software,Deterioration,2.54,3,5,50.01
Hydraulic,Deterioration,9.48,4,2,80.52
Software,Deterioration,3.9,5,5,61.46
Mechanical,Operator,6.07,4,7,70.18
Hydraulic,Environment,3.49,2,9,42.2
Electrical,Operator,7.47,2,15,73.53
Hydraulic,Deterioration,6.78,3,15,53.15
Electrical,Deterioration,7.33,4,23,78.1
Electrical,Environment,4.73,2,4,50.64
Electrical,Operator,9.75,2,22,90.0
Mechanical,Environment,8.53,2,12,62.65
Software,Operator,5.21,3,15,55.78
Electrical,Environment,0.38,1,2,25.33
Software,Deterioration,3.66,3,16,40.72
Electrical,Environment,5.42,2,18,41.91
Electrical,Operator,0.18,4,23,59.13
Electrical,Deterioration,3.1,1,10,41.8
Hydraulic,Deterioration,8.32,1,20,56.8
Hydraulic,Environment,2.81,3,8,39.95
Hydraulic,Operator,0.07,1,23,37.13
Mechanical,Deterioration,5.67,1,22,53.11
Mechanical,Deterioration,6.94,3,3,76.22
Hydraulic,Deterioration,8.52,3,5,75.59
Software,Deterioration,3.4,1,13,36.72
Electrical,Deterioration,3.62,5,7,55.45
Software,Deterioration,1.58,1,11,26.16
Software,Deterioration,2.08,4,9,42.52
Software,Operator,6.69,3,6,72.66
Mechanical,Operator,3.74,3,12,55.36
Electrical,Operator,7.23,1,18,61.5
Electrical,Operator,7.48,3,16,78.91
Software,Operator,6.79,1,20,53.34
Software,Environment,5.41,3,16,43.29
Mechanical,Environment,5.88,5,20,70.07
Mechanical,Environment,9.14,1,21,77.32
Electrical,Operator,7.06,2,18,70.34
Mechanical,Environment,5.63,2,3,55.37
Electrical,Operator,0.25,3,7,39.9
Mechanical,Operator,5.66,3,0,65.83
Mechanical,Deterioration,8.53,2,16,56.74
Mechanical,Operator,4.39,4,4,76.54
Software,Environment,5.74,3,3,66.05
Hydraulic,Environment,1.97,2,12,38.71
Mechanical,Environment,5.29,3,23,56.22
Mechanical,Operator,4.97,4,22,78.09
Electrical,Environment,7.43,3,8,66.96
Mechanical,Environment,2.21,1,17,30.67
Software,Deterioration,4.28,5,23,66.72
Electrical,Environment,6.41,1,10,45.23
Electrical,Operator,9.13,4,0,85.15
Software,Environment,3.53,1,1,35.91
Electrical,Deterioration,7.96,5,10,73.99
Hydraulic,Environment,0.26,4,6,48.86
Software,Deterioration,6.88,2,21,55.84
Software,Deterioration,6.07,5,3,78.17
Mechanical,Operator,0.31,1,2,47.87
Hydraulic,Environment,5.54,4,13,55.86
Software,Operator,7.72,2,4,80.13
Hydraulic,Deterioration,1.01,4,19,49.37
Software,Environment,1.16,4,15,44.07
Electrical,Environment,2.99,3,8,39.96
Mechanical,Environment,9.31,1,8,56.52
Electrical,Deterioration,0.69,5,1,61.23
Electrical,Environment,1.95,2,2,37.88
Mechanical,Operator,6.52,3,15,76.45
Electrical,Deterioration,2.73,5,1,74.25
Electrical,Environment,1.84,5,8,56.29
Mechanical,Deterioration,5.77,4,12,61.48
Hydraulic,Environment,2.91,1,6,32.23
Hydraulic,Deterioration,6.91,3,14,69.44
Software,Operator,8.3,4,6,90.0
Software,Environment,2.7,1,11,18.96
Hydraulic,Deterioration,3.15,2,22,59.13
Electrical,Operator,6.7,3,6,87.5
Hydraulic,Operator,1.01,3,16,33.19
Mechanical,Environment,8.91,2,20,81.49
Mechanical,Operator,7.2,5,9,74.31
Hydraulic,Operator,3.32,4,6,69.93
Software,Deterioration,5.36,2,19,44.22
Electrical,Deterioration,1.6,5,10,62.76
Electrical,Environment,4.73,4,20,68.09
Software,Environment,4.83,5,19,58.63
Electrical,Deterioration,2.08,5,21,74.35
Electrical,Deterioration,4.83,2,4,64.76
Mechanical,Environment,7.57,4,5,82.83
Software,Operator,5.76,4,15,71.53
Mechanical,Deterioration,4.93,3,9,61.81
Hydraulic,Operator,6.24,3,19,61.08
Electrical,Environment,0.66,5,18,43.33
Mechanical,Operator,8.94,4,8,78.97
Software,Environment,8.13,1,15,56.9
Mechanical,Environment,5.26,4,17,55.27
Electrical,Operator,7.13,2,7,59.07
Hydraulic,Operator,2.97,5,6,70.12
Electrical,Deterioration,5.23,4,21,77.15
Software,Environment,6.43,3,19,45.42
Software,Operator,5.05,4,0,80.21
Electrical,Deterioration,8.21,5,17,76.66
Mechanical,Deterioration,4.07,1,12,45.35
Software,Deterioration,6.52,3,9,61.91
Software,Deterioration,0.99,3,12,34.91
Software,Operator,8.8,1,3,69.07
Electrical,Deterioration,0.6,1,7,19.06
Electrical,Operator,8.92,4,0,87.43
Mechanical,Environment,9.64,5,9,84.48
Electrical,Environment,0.74,5,21,58.02
Mechanical,Deterioration,9.98,5,1,90.0
Mechanical,Deterioration,3.75,4,9,60.8
Mechanical,Operator,0.38,3,18,40.49
Electrical,Operator,7.58,5,8,76.14
Software,Deterioration,0.68,5,16,41.27
Mechanical,Environment,8.67,5,7,78.99
Software,Operator,6.04,2,3,67.31
Hydraulic,Operator,9.97,1,10,66.1
Software,Operator,8.84,5,1,86.04
Software,Deterioration,6.05,2,12,49.91
Software,Operator,2.44,4,21,65.26
Hydraulic,Operator,4.71,5,0,73.15
Electrical,Operator,7.43,4,9,81.21
Mechanical,Environment,5.57,3,2,61.49
Electrical,Operator,5.44,2,18,62.58
Mechanical,Deterioration,7.05,3,15,74.76
Electrical,Deterioration,2.73,2,14,31.27
Electrical,Operator,5.69,3,0,73.29
Hydraulic,Deterioration,4.11,2,2,61.43
Mechanical,Operator,4.68,5,7,68.82
Mechanical,Environment,7.21,1,17,49.51
Hydraulic,Deterioration,9.57,3,22,81.39
Software,Environment,9.85,5,10,86.69
Hydraulic,Environment,3.22,1,11,34.68
Hydraulic,Operator,1.02,3,0,58.14
Software,Deterioration,7.38,2,11,56.81
Software,Operator,7.77,5,11,84.44
Electrical,Environment,2.54,5,11,59.57
Mechanical,Deterioration,4.33,3,11,57.89
Software,Operator,4.17,3,9,49.18
Software,Environment,1.75,3,18,33.27
Hydraulic,Deterioration,3.42,5,8,53.35
Hydraulic,Environment,7.81,3,6,73.88
Hydraulic,Environment,2.3,3,1,53.51
Electrical,Operator,4.29,4,16,72.01
Mechanical,Operator,7.92,3,9,73.83
Electrical,Operator,0.89,2,4,55.63
Software,Deterioration,5.45,1,23,58.23
Mechanical,Environment,6.5,5,11,79.82
Mechanical,Operator,6.46,5,0,85.02
Hydraulic,Deterioration,9.66,2,15,73.56
Mechanical,Deterioration,7.78,1,11,60.17
Electrical,Deterioration,9.58,3,22,84.58
Hydraulic,Operator,0.84,1,7,24.32
Mechanical,Deterioration,1.08,4,10,42.87
Software,Operator,7.1,4,22,90.0
Electrical,Operator,8.94,3,6,90.0
Hydraulic,Deterioration,7.14,1,15,54.5
Software,Operator,1.41,1,21,40.73
Mechanical,Deterioration,3.28,5,6,70.85
Mechanical,Operator,6.55,5,13,76.19
Mechanical,Deterioration,8.55,1,20,61.09
Software,Operator,1.18,5,1,58.7
Electrical,Deterioration,8.88,1,5,73.2
Mechanical,Environment,2.39,3,5,57.51
Software,Deterioration,1.14,4,2,53.35
Software,Deterioration,4.86,5,11,64.15
Electrical,Deterioration,0.07,2,20,35.35
Mechanical,Operator,8.65,3,14,68.51
Mechanical,Environment,2.17,1,22,41.33
Software,Operator,3.25,3,18,49.93
